Ratio,Rating,FG Color,BG Color
1,F,014266,014266
1,F,222222,222222
1,F,3f653a,3f653a
1,F,641717,641717
1,F,FFFFFF,FFFFFF
1,F,b3b3b3,b3b3b3
1,F,c0a878,c0a878
1,F,cdcba2,cdcba2
1,F,d5d7d8,d5d7d8
1,F,ffcc00,ffcc00
1.04,F,d5d7d8,ffcc00
1.04,F,ffcc00,d5d7d8
1.09,F,b3b3b3,c0a878
1.09,F,c0a878,b3b3b3
1.09,F,cdcba2,ffcc00
1.09,F,ffcc00,cdcba2
1.14,F,cdcba2,d5d7d8
1.14,F,d5d7d8,cdcba2
1.17,F,014266,641717
1.17,F,641717,014266
1.26,F,b3b3b3,cdcba2
1.26,F,cdcba2,b3b3b3
1.27,F,222222,641717
1.27,F,641717,222222
1.38,F,b3b3b3,ffcc00
1.38,F,c0a878,cdcba2
1.38,F,cdcba2,c0a878
1.38,F,ffcc00,b3b3b3
1.44,F,FFFFFF,d5d7d8
1.44,F,d5d7d8,FFFFFF
1.45,F,b3b3b3,d5d7d8
1.45,F,d5d7d8,b3b3b3
1.49,F,014266,222222
1.49,F,222222,014266
1.51,F,FFFFFF,ffcc00
1.51,F,ffcc00,FFFFFF
1.52,F,c0a878,ffcc00
1.52,F,ffcc00,c0a878
1.58,F,014266,3f653a
1.58,F,3f653a,014266
1.59,F,c0a878,d5d7d8
1.59,F,d5d7d8,c0a878
1.65,F,FFFFFF,cdcba2
1.65,F,cdcba2,FFFFFF
1.86,F,3f653a,641717
1.86,F,641717,3f653a
2.09,F,FFFFFF,b3b3b3
2.09,F,b3b3b3,FFFFFF
2.30,F,FFFFFF,c0a878
2.30,F,c0a878,FFFFFF
2.37,F,222222,3f653a
2.37,F,3f653a,222222
2.90,F,3f653a,c0a878
2.90,F,c0a878,3f653a
3.19,G,3f653a,b3b3b3
3.19,G,b3b3b3,3f653a
4.03,G,3f653a,cdcba2
4.03,G,cdcba2,3f653a
4.43,G,3f653a,ffcc00
4.43,G,ffcc00,3f653a
4.62,AA,014266,c0a878
4.62,AA,c0a878,014266
4.63,AA,3f653a,d5d7d8
4.63,AA,d5d7d8,3f653a
5.07,AA,014266,b3b3b3
5.07,AA,b3b3b3,014266
5.43,AA,641717,c0a878
5.43,AA,c0a878,641717
5.97,AA,641717,b3b3b3
5.97,AA,b3b3b3,641717
6.41,AA,014266,cdcba2
6.41,AA,cdcba2,014266
6.70,AA,3f653a,FFFFFF
6.70,AA,FFFFFF,3f653a
6.90,AA,222222,c0a878
6.90,AA,c0a878,222222
7.04,AAA,014266,ffcc00
7.04,AAA,ffcc00,014266
7.37,AAA,014266,d5d7d8
7.37,AAA,d5d7d8,014266
7.55,AAA,641717,cdcba2
7.55,AAA,cdcba2,641717
7.58,AAA,222222,b3b3b3
7.58,AAA,b3b3b3,222222
8.28,AAA,641717,ffcc00
8.28,AAA,ffcc00,641717
8.67,AAA,641717,d5d7d8
8.67,AAA,d5d7d8,641717
9.59,AAA,222222,cdcba2
9.59,AAA,cdcba2,222222
10.5,AAA,222222,ffcc00
10.5,AAA,ffcc00,222222
10.6,AAA,014266,FFFFFF
10.6,AAA,FFFFFF,014266
11.0,AAA,222222,d5d7d8
11.0,AAA,d5d7d8,222222
12.5,AAA,641717,FFFFFF
12.5,AAA,FFFFFF,641717
15.9,AAA,222222,FFFFFF
15.9,AAA,FFFFFF,222222
