   ,FFFFFF,222222,ffcc00,cdcba2,c0a878,014266,641717,3f653a,b3b3b3,d5d7d8
FFFFFF,1,15.9,1.51,1.65,2.30,10.6,12.5,6.70,2.09,1.44
222222,15.9,1,10.5,9.59,6.90,1.49,1.27,2.37,7.58,11.0
ffcc00,1.51,10.5,1,1.09,1.52,7.04,8.28,4.43,1.38,1.04
cdcba2,1.65,9.59,1.09,1,1.38,6.41,7.55,4.03,1.26,1.14
c0a878,2.30,6.90,1.52,1.38,1,4.62,5.43,2.90,1.09,1.59
014266,10.6,1.49,7.04,6.41,4.62,1,1.17,1.58,5.07,7.37
641717,12.5,1.27,8.28,7.55,5.43,1.17,1,1.86,5.97,8.67
3f653a,6.70,2.37,4.43,4.03,2.90,1.58,1.86,1,3.19,4.63
b3b3b3,2.09,7.58,1.38,1.26,1.09,5.07,5.97,3.19,1,1.45
d5d7d8,1.44,11.0,1.04,1.14,1.59,7.37,8.67,4.63,1.45,1
