Ratio,Rating,FG Color,BG Color
1.00,F,1C5238,703B0F
1.00,F,703B0F,1C5238
1,F,000000,000000
1,F,010331,010331
1,F,18211F,18211F
1,F,1C5238,1C5238
1,F,314245,314245
1,F,317EB6,317EB6
1,F,365A7E,365A7E
1,F,45ABE3,45ABE3
1,F,46AE56,46AE56
1,F,5F6367,5F6367
1,F,630A31,630A31
1,F,703B0F,703B0F
1,F,839699,839699
1,F,CB3035,CB3035
1,F,DF427E,DF427E
1,F,E77632,E77632
1,F,F0A438,F0A438
1,F,F8CC4F,F8CC4F
1,F,FFFFFF,FFFFFF
1.03,F,839699,E77632
1.03,F,E77632,839699
1.05,F,000000,010331
1.05,F,010331,000000
1.05,F,46AE56,E77632
1.05,F,E77632,46AE56
1.08,F,317EB6,DF427E
1.08,F,DF427E,317EB6
1.09,F,45ABE3,46AE56
1.09,F,46AE56,45ABE3
1.09,F,46AE56,839699
1.09,F,839699,46AE56
1.15,F,1C5238,314245
1.15,F,314245,1C5238
1.15,F,5F6367,CB3035
1.15,F,CB3035,5F6367
1.16,F,314245,703B0F
1.16,F,45ABE3,E77632
1.16,F,703B0F,314245
1.16,F,E77632,45ABE3
1.18,F,365A7E,5F6367
1.18,F,5F6367,365A7E
1.19,F,317EB6,CB3035
1.19,F,CB3035,317EB6
1.20,F,010331,18211F
1.20,F,18211F,010331
1.20,F,45ABE3,839699
1.20,F,839699,45ABE3
1.23,F,314245,630A31
1.23,F,45ABE3,F0A438
1.23,F,630A31,314245
1.23,F,F0A438,45ABE3
1.25,F,365A7E,703B0F
1.25,F,703B0F,365A7E
1.26,F,18211F,630A31
1.26,F,1C5238,365A7E
1.26,F,365A7E,1C5238
1.26,F,630A31,18211F
1.27,F,000000,18211F
1.27,F,18211F,000000
1.30,F,839699,DF427E
1.30,F,CB3035,DF427E
1.30,F,DF427E,839699
1.30,F,DF427E,CB3035
1.34,F,DF427E,E77632
1.34,F,E77632,DF427E
1.35,F,46AE56,F0A438
1.35,F,F0A438,46AE56
1.36,F,F0A438,F8CC4F
1.36,F,F8CC4F,F0A438
1.37,F,365A7E,CB3035
1.37,F,CB3035,365A7E
1.38,F,317EB6,5F6367
1.38,F,5F6367,317EB6
1.41,F,317EB6,839699
1.41,F,839699,317EB6
1.42,F,1C5238,630A31
1.42,F,46AE56,DF427E
1.42,F,630A31,1C5238
1.42,F,DF427E,46AE56
1.43,F,630A31,703B0F
1.43,F,703B0F,630A31
1.43,F,E77632,F0A438
1.43,F,F0A438,E77632
1.46,F,314245,365A7E
1.46,F,317EB6,E77632
1.46,F,365A7E,314245
1.46,F,E77632,317EB6
1.48,F,839699,F0A438
1.48,F,F0A438,839699
1.49,F,1C5238,5F6367
1.49,F,5F6367,1C5238
1.49,F,5F6367,703B0F
1.49,F,703B0F,5F6367
1.50,F,5F6367,DF427E
1.50,F,DF427E,5F6367
1.52,F,010331,630A31
1.52,F,630A31,010331
1.52,F,F8CC4F,FFFFFF
1.52,F,FFFFFF,F8CC4F
1.55,F,317EB6,46AE56
1.55,F,46AE56,317EB6
1.56,F,18211F,314245
1.56,F,314245,18211F
1.56,F,45ABE3,DF427E
1.56,F,DF427E,45ABE3
1.61,F,000000,630A31
1.61,F,630A31,000000
1.64,F,317EB6,365A7E
1.64,F,365A7E,317EB6
1.67,F,45ABE3,F8CC4F
1.67,F,F8CC4F,45ABE3
1.69,F,839699,CB3035
1.69,F,CB3035,839699
1.70,F,317EB6,45ABE3
1.70,F,45ABE3,317EB6
1.72,F,703B0F,CB3035
1.72,F,CB3035,703B0F
1.73,F,1C5238,CB3035
1.73,F,314245,5F6367
1.73,F,5F6367,314245
1.73,F,CB3035,1C5238
1.75,F,CB3035,E77632
1.75,F,E77632,CB3035
1.78,F,365A7E,DF427E
1.78,F,DF427E,365A7E
1.80,F,365A7E,630A31
1.80,F,630A31,365A7E
1.81,F,18211F,1C5238
1.81,F,18211F,703B0F
1.81,F,1C5238,18211F
1.81,F,703B0F,18211F
1.84,F,46AE56,F8CC4F
1.84,F,F8CC4F,46AE56
1.85,F,46AE56,CB3035
1.85,F,CB3035,46AE56
1.88,F,010331,314245
1.88,F,314245,010331
1.93,F,DF427E,F0A438
1.93,F,F0A438,DF427E
1.95,F,5F6367,839699
1.95,F,839699,5F6367
1.95,F,E77632,F8CC4F
1.95,F,F8CC4F,E77632
1.99,F,000000,314245
1.99,F,314245,000000
2.01,F,314245,CB3035
2.01,F,CB3035,314245
2.02,F,5F6367,E77632
2.02,F,839699,F8CC4F
2.02,F,E77632,5F6367
2.02,F,F8CC4F,839699
2.03,F,45ABE3,CB3035
2.03,F,CB3035,45ABE3
2.06,F,317EB6,703B0F
2.06,F,703B0F,317EB6
2.07,F,1C5238,317EB6
2.07,F,317EB6,1C5238
2.08,F,F0A438,FFFFFF
2.08,F,FFFFFF,F0A438
2.10,F,317EB6,F0A438
2.10,F,F0A438,317EB6
2.14,F,46AE56,5F6367
2.14,F,5F6367,46AE56
2.14,F,5F6367,630A31
2.14,F,630A31,5F6367
2.18,F,010331,1C5238
2.18,F,1C5238,010331
2.19,F,010331,703B0F
2.19,F,703B0F,010331
2.24,F,703B0F,DF427E
2.24,F,DF427E,703B0F
2.25,F,1C5238,DF427E
2.25,F,DF427E,1C5238
2.28,F,18211F,365A7E
2.28,F,365A7E,18211F
2.31,F,000000,1C5238
2.31,F,1C5238,000000
2.32,F,000000,703B0F
2.32,F,365A7E,839699
2.32,F,703B0F,000000
2.32,F,839699,365A7E
2.36,F,45ABE3,5F6367
2.36,F,5F6367,45ABE3
2.40,F,314245,317EB6
2.40,F,317EB6,314245
2.40,F,365A7E,E77632
2.40,F,E77632,365A7E
2.48,F,630A31,CB3035
2.48,F,CB3035,630A31
2.50,F,CB3035,F0A438
2.50,F,F0A438,CB3035
2.55,F,365A7E,46AE56
2.55,F,46AE56,365A7E
2.56,F,45ABE3,FFFFFF
2.56,F,FFFFFF,45ABE3
2.61,F,314245,DF427E
2.61,F,DF427E,314245
2.63,F,DF427E,F8CC4F
2.63,F,F8CC4F,DF427E
2.71,F,18211F,5F6367
2.71,F,5F6367,18211F
2.75,F,010331,365A7E
2.75,F,365A7E,010331
2.80,F,365A7E,45ABE3
2.80,F,45ABE3,365A7E
2.81,F,46AE56,FFFFFF
2.81,F,FFFFFF,46AE56
2.86,F,317EB6,F8CC4F
2.86,F,F8CC4F,317EB6
2.90,F,5F6367,F0A438
2.90,F,F0A438,5F6367
2.92,F,000000,365A7E
2.92,F,365A7E,000000
2.92,F,703B0F,839699
2.92,F,839699,703B0F
2.93,F,1C5238,839699
2.93,F,839699,1C5238
2.96,F,317EB6,630A31
2.96,F,630A31,317EB6
2.98,F,E77632,FFFFFF
2.98,F,FFFFFF,E77632
3.03,G,703B0F,E77632
3.03,G,E77632,703B0F
3.04,G,1C5238,E77632
3.04,G,E77632,1C5238
3.09,G,839699,FFFFFF
3.09,G,FFFFFF,839699
3.14,G,18211F,CB3035
3.14,G,CB3035,18211F
3.20,G,46AE56,703B0F
3.20,G,703B0F,46AE56
3.22,G,1C5238,46AE56
3.22,G,46AE56,1C5238
3.22,G,630A31,DF427E
3.22,G,DF427E,630A31
3.27,G,010331,5F6367
3.27,G,5F6367,010331
3.40,G,314245,839699
3.40,G,839699,314245
3.42,G,CB3035,F8CC4F
3.42,G,F8CC4F,CB3035
3.44,G,365A7E,F0A438
3.44,G,F0A438,365A7E
3.46,G,000000,5F6367
3.46,G,5F6367,000000
3.52,G,314245,E77632
3.52,G,45ABE3,703B0F
3.52,G,703B0F,45ABE3
3.52,G,E77632,314245
3.53,G,1C5238,45ABE3
3.53,G,45ABE3,1C5238
3.73,G,314245,46AE56
3.73,G,46AE56,314245
3.75,G,18211F,317EB6
3.75,G,317EB6,18211F
3.79,G,010331,CB3035
3.79,G,CB3035,010331
3.96,G,5F6367,F8CC4F
3.96,G,F8CC4F,5F6367
4.01,G,000000,CB3035
4.01,G,CB3035,000000
4.02,G,DF427E,FFFFFF
4.02,G,FFFFFF,DF427E
4.08,G,18211F,DF427E
4.08,G,DF427E,18211F
4.10,G,314245,45ABE3
4.10,G,45ABE3,314245
4.19,G,630A31,839699
4.19,G,839699,630A31
4.33,G,703B0F,F0A438
4.33,G,F0A438,703B0F
4.34,G,630A31,E77632
4.34,G,E77632,630A31
4.35,G,1C5238,F0A438
4.35,G,F0A438,1C5238
4.38,G,317EB6,FFFFFF
4.38,G,FFFFFF,317EB6
4.52,AA,010331,317EB6
4.52,AA,317EB6,010331
4.60,AA,46AE56,630A31
4.60,AA,630A31,46AE56
4.70,AA,365A7E,F8CC4F
4.70,AA,F8CC4F,365A7E
4.79,AA,000000,317EB6
4.79,AA,317EB6,000000
4.92,AA,010331,DF427E
4.92,AA,DF427E,010331
5.04,AA,314245,F0A438
5.04,AA,F0A438,314245
5.05,AA,45ABE3,630A31
5.05,AA,630A31,45ABE3
5.21,AA,000000,DF427E
5.21,AA,DF427E,000000
5.23,AA,CB3035,FFFFFF
5.23,AA,FFFFFF,CB3035
5.31,AA,18211F,839699
5.31,AA,839699,18211F
5.51,AA,18211F,E77632
5.51,AA,E77632,18211F
5.83,AA,18211F,46AE56
5.83,AA,46AE56,18211F
5.91,AA,703B0F,F8CC4F
5.91,AA,F8CC4F,703B0F
5.93,AA,1C5238,F8CC4F
5.93,AA,F8CC4F,1C5238
6.05,AA,5F6367,FFFFFF
6.05,AA,FFFFFF,5F6367
6.22,AA,630A31,F0A438
6.22,AA,F0A438,630A31
6.41,AA,010331,839699
6.41,AA,18211F,45ABE3
6.41,AA,45ABE3,18211F
6.41,AA,839699,010331
6.64,AA,010331,E77632
6.64,AA,E77632,010331
6.78,AA,000000,839699
6.78,AA,839699,000000
6.88,AA,314245,F8CC4F
6.88,AA,F8CC4F,314245
7.03,AAA,000000,E77632
7.03,AAA,010331,46AE56
7.03,AAA,46AE56,010331
7.03,AAA,E77632,000000
7.19,AAA,365A7E,FFFFFF
7.19,AAA,FFFFFF,365A7E
7.44,AAA,000000,46AE56
7.44,AAA,46AE56,000000
7.73,AAA,010331,45ABE3
7.73,AAA,45ABE3,010331
7.89,AAA,18211F,F0A438
7.89,AAA,F0A438,18211F
8.18,AAA,000000,45ABE3
8.18,AAA,45ABE3,000000
8.49,AAA,630A31,F8CC4F
8.49,AAA,F8CC4F,630A31
9.04,AAA,703B0F,FFFFFF
9.04,AAA,FFFFFF,703B0F
9.07,AAA,1C5238,FFFFFF
9.07,AAA,FFFFFF,1C5238
9.51,AAA,010331,F0A438
9.51,AAA,F0A438,010331
10.0,AAA,000000,F0A438
10.0,AAA,F0A438,000000
10.5,AAA,314245,FFFFFF
10.5,AAA,FFFFFF,314245
10.7,AAA,18211F,F8CC4F
10.7,AAA,F8CC4F,18211F
12.9,AAA,010331,F8CC4F
12.9,AAA,630A31,FFFFFF
12.9,AAA,F8CC4F,010331
12.9,AAA,FFFFFF,630A31
13.7,AAA,000000,F8CC4F
13.7,AAA,F8CC4F,000000
16.4,AAA,18211F,FFFFFF
16.4,AAA,FFFFFF,18211F
19.8,AAA,010331,FFFFFF
19.8,AAA,FFFFFF,010331
21,AAA,000000,FFFFFF
21,AAA,FFFFFF,000000
