   ,46AE56,1C5238,FFFFFF,45ABE3,317EB6,365A7E,010331,F8CC4F,F0A438,E77632,CB3035,DF427E,630A31,703B0F,839699,5F6367,314245,18211F,000000
46AE56,1,3.22,2.81,1.09,1.55,2.55,7.03,1.84,1.35,1.05,1.85,1.42,4.60,3.20,1.09,2.14,3.73,5.83,7.44
1C5238,3.22,1,9.07,3.53,2.07,1.26,2.18,5.93,4.35,3.04,1.73,2.25,1.42,1.00,2.93,1.49,1.15,1.81,2.31
FFFFFF,2.81,9.07,1,2.56,4.38,7.19,19.8,1.52,2.08,2.98,5.23,4.02,12.9,9.04,3.09,6.05,10.5,16.4,21
45ABE3,1.09,3.53,2.56,1,1.70,2.80,7.73,1.67,1.23,1.16,2.03,1.56,5.05,3.52,1.20,2.36,4.10,6.41,8.18
317EB6,1.55,2.07,4.38,1.70,1,1.64,4.52,2.86,2.10,1.46,1.19,1.08,2.96,2.06,1.41,1.38,2.40,3.75,4.79
365A7E,2.55,1.26,7.19,2.80,1.64,1,2.75,4.70,3.44,2.40,1.37,1.78,1.80,1.25,2.32,1.18,1.46,2.28,2.92
010331,7.03,2.18,19.8,7.73,4.52,2.75,1,12.9,9.51,6.64,3.79,4.92,1.52,2.19,6.41,3.27,1.88,1.20,1.05
F8CC4F,1.84,5.93,1.52,1.67,2.86,4.70,12.9,1,1.36,1.95,3.42,2.63,8.49,5.91,2.02,3.96,6.88,10.7,13.7
F0A438,1.35,4.35,2.08,1.23,2.10,3.44,9.51,1.36,1,1.43,2.50,1.93,6.22,4.33,1.48,2.90,5.04,7.89,10.0
E77632,1.05,3.04,2.98,1.16,1.46,2.40,6.64,1.95,1.43,1,1.75,1.34,4.34,3.03,1.03,2.02,3.52,5.51,7.03
CB3035,1.85,1.73,5.23,2.03,1.19,1.37,3.79,3.42,2.50,1.75,1,1.30,2.48,1.72,1.69,1.15,2.01,3.14,4.01
DF427E,1.42,2.25,4.02,1.56,1.08,1.78,4.92,2.63,1.93,1.34,1.30,1,3.22,2.24,1.30,1.50,2.61,4.08,5.21
630A31,4.60,1.42,12.9,5.05,2.96,1.80,1.52,8.49,6.22,4.34,2.48,3.22,1,1.43,4.19,2.14,1.23,1.26,1.61
703B0F,3.20,1.00,9.04,3.52,2.06,1.25,2.19,5.91,4.33,3.03,1.72,2.24,1.43,1,2.92,1.49,1.16,1.81,2.32
839699,1.09,2.93,3.09,1.20,1.41,2.32,6.41,2.02,1.48,1.03,1.69,1.30,4.19,2.92,1,1.95,3.40,5.31,6.78
5F6367,2.14,1.49,6.05,2.36,1.38,1.18,3.27,3.96,2.90,2.02,1.15,1.50,2.14,1.49,1.95,1,1.73,2.71,3.46
314245,3.73,1.15,10.5,4.10,2.40,1.46,1.88,6.88,5.04,3.52,2.01,2.61,1.23,1.16,3.40,1.73,1,1.56,1.99
18211F,5.83,1.81,16.4,6.41,3.75,2.28,1.20,10.7,7.89,5.51,3.14,4.08,1.26,1.81,5.31,2.71,1.56,1,1.27
000000,7.44,2.31,21,8.18,4.79,2.92,1.05,13.7,10.0,7.03,4.01,5.21,1.61,2.32,6.78,3.46,1.99,1.27,1
