Ratio,Rating,FG Color,BG Color
1.00,F,9BCBD0,C1BFE1
1.00,F,A0CAA7,A1CAA6
1.00,F,A1CAA6,A0CAA7
1.00,F,C1BFE1,9BCBD0
1.00,F,D0D0E0,F8C5B6
1.00,F,DADADA,FED47A
1.00,F,E0DFF1,FFDC98
1.00,F,E1EEF0,E2EEE3
1.00,F,E2EEE3,E1EEF0
1.00,F,EFF1F3,FFEECE
1.00,F,F8C5B6,D0D0E0
1.00,F,FCE3DA,FFE5B3
1.00,F,FED47A,DADADA
1.00,F,FFDC98,E0DFF1
1.00,F,FFE5B3,FCE3DA
1.00,F,FFEECE,EFF1F3
1,F,193E72,193E72
1,F,1D1D1B,1D1D1B
1,F,2EA9B0,2EA9B0
1,F,45A86C,45A86C
1,F,475989,475989
1,F,575656,575656
1,F,6567AD,6567AD
1,F,6FBAC0,6FBAC0
1,F,747CA3,747CA3
1,F,79B989,79B989
1,F,8482BE,8482BE
1,F,878786,878786
1,F,9BCBD0,9BCBD0
1,F,A0CAA7,A0CAA7
1,F,A1CAA6,A1CAA6
1,F,A2A0D0,A2A0D0
1,F,A2A4C1,A2A4C1
1,F,ACBCC4,ACBCC4
1,F,B3B2B2,B3B2B2
1,F,BDC9CF,BDC9CF
1,F,C1BFE1,C1BFE1
1,F,C1DDE0,C1DDE0
1,F,CED6DB,CED6DB
1,F,D0D0E0,D0D0E0
1,F,DADADA,DADADA
1,F,DFE3E7,DFE3E7
1,F,E0DFF1,E0DFF1
1,F,E1EEF0,E1EEF0
1,F,E2EEE3,E2EEE3
1,F,EA5D4E,EA5D4E
1,F,EF826E,EF826E
1,F,EFF1F3,EFF1F3
1,F,F29330,F29330
1,F,F3A491,F3A491
1,F,F6AB5D,F6AB5D
1,F,F8C5B6,F8C5B6
1,F,F9C187,F9C187
1,F,FCD6B0,FCD6B0
1,F,FCE3DA,FCE3DA
1,F,FDEBD8,FDEBD8
1,F,FED47A,FED47A
1,F,FFDC98,FFDC98
1,F,FFE5B3,FFE5B3
1,F,FFEECE,FFEECE
1,F,FFF6E6,FFF6E6
1,F,FFFFFF,FFFFFF
1.01,F,79B989,F29330
1.01,F,8482BE,878786
1.01,F,878786,8482BE
1.01,F,A2A0D0,A2A4C1
1.01,F,A2A4C1,A2A0D0
1.01,F,ACBCC4,F6AB5D
1.01,F,C1DDE0,FED47A
1.01,F,DFE3E7,E0DFF1
1.01,F,E0DFF1,DFE3E7
1.01,F,F29330,79B989
1.01,F,F6AB5D,ACBCC4
1.01,F,FDEBD8,FFEECE
1.01,F,FED47A,C1DDE0
1.01,F,FFEECE,FDEBD8
1.02,F,9BCBD0,A1CAA6
1.02,F,A0CAA7,C1BFE1
1.02,F,A1CAA6,9BCBD0
1.02,F,A1CAA6,C1BFE1
1.02,F,ACBCC4,F3A491
1.02,F,C1BFE1,A0CAA7
1.02,F,C1BFE1,A1CAA6
1.02,F,C1DDE0,CED6DB
1.02,F,C1DDE0,DADADA
1.02,F,CED6DB,C1DDE0
1.02,F,DADADA,C1DDE0
1.02,F,DADADA,FCD6B0
1.02,F,DFE3E7,FFDC98
1.02,F,E1EEF0,FDEBD8
1.02,F,E2EEE3,FCE3DA
1.02,F,E2EEE3,FDEBD8
1.02,F,E2EEE3,FFE5B3
1.02,F,EFF1F3,FDEBD8
1.02,F,F3A491,ACBCC4
1.02,F,FCD6B0,DADADA
1.02,F,FCE3DA,E2EEE3
1.02,F,FDEBD8,E1EEF0
1.02,F,FDEBD8,E2EEE3
1.02,F,FDEBD8,EFF1F3
1.02,F,FFDC98,DFE3E7
1.02,F,FFE5B3,E2EEE3
1.03,F,6FBAC0,79B989
1.03,F,79B989,6FBAC0
1.03,F,9BCBD0,A0CAA7
1.03,F,A0CAA7,9BCBD0
1.03,F,CED6DB,D0D0E0
1.03,F,D0D0E0,CED6DB
1.03,F,E0DFF1,FCD6B0
1.03,F,E1EEF0,FCE3DA
1.03,F,E1EEF0,FFE5B3
1.03,F,E1EEF0,FFEECE
1.03,F,F3A491,F6AB5D
1.03,F,F6AB5D,F3A491
1.03,F,FCD6B0,E0DFF1
1.03,F,FCD6B0,FED47A
1.03,F,FCD6B0,FFDC98
1.03,F,FCE3DA,E1EEF0
1.03,F,FED47A,FCD6B0
1.03,F,FFDC98,FCD6B0
1.03,F,FFE5B3,E1EEF0
1.03,F,FFEECE,E1EEF0
1.04,F,2EA9B0,45A86C
1.04,F,45A86C,2EA9B0
1.04,F,6FBAC0,B3B2B2
1.04,F,8482BE,EA5D4E
1.04,F,9BCBD0,BDC9CF
1.04,F,A2A0D0,EF826E
1.04,F,A2A4C1,F29330
1.04,F,B3B2B2,6FBAC0
1.04,F,BDC9CF,9BCBD0
1.04,F,BDC9CF,F9C187
1.04,F,C1DDE0,FCD6B0
1.04,F,CED6DB,F8C5B6
1.04,F,CED6DB,FED47A
1.04,F,E1EEF0,EFF1F3
1.04,F,E2EEE3,FFEECE
1.04,F,EA5D4E,8482BE
1.04,F,EF826E,A2A0D0
1.04,F,EFF1F3,E1EEF0
1.04,F,F29330,A2A4C1
1.04,F,F8C5B6,CED6DB
1.04,F,F8C5B6,F9C187
1.04,F,F9C187,BDC9CF
1.04,F,F9C187,F8C5B6
1.04,F,FCD6B0,C1DDE0
1.04,F,FED47A,CED6DB
1.04,F,FFEECE,E2EEE3
1.05,F,6FBAC0,F29330
1.05,F,79B989,A2A4C1
1.05,F,878786,EA5D4E
1.05,F,A0CAA7,F6AB5D
1.05,F,A1CAA6,F6AB5D
1.05,F,A2A4C1,79B989
1.05,F,BDC9CF,C1BFE1
1.05,F,C1BFE1,BDC9CF
1.05,F,CED6DB,DADADA
1.05,F,D0D0E0,F9C187
1.05,F,DADADA,CED6DB
1.05,F,DFE3E7,FCD6B0
1.05,F,DFE3E7,FCE3DA
1.05,F,DFE3E7,FFE5B3
1.05,F,E2EEE3,EFF1F3
1.05,F,EA5D4E,878786
1.05,F,EFF1F3,E2EEE3
1.05,F,EFF1F3,FFF6E6
1.05,F,F29330,6FBAC0
1.05,F,F6AB5D,A0CAA7
1.05,F,F6AB5D,A1CAA6
1.05,F,F9C187,D0D0E0
1.05,F,FCD6B0,DFE3E7
1.05,F,FCE3DA,DFE3E7
1.05,F,FCE3DA,FDEBD8
1.05,F,FDEBD8,FCE3DA
1.05,F,FDEBD8,FFE5B3
1.05,F,FFE5B3,DFE3E7
1.05,F,FFE5B3,FDEBD8
1.05,F,FFF6E6,EFF1F3
1.06,F,475989,575656
1.06,F,575656,475989
1.06,F,A2A0D0,F29330
1.06,F,A2A4C1,EF826E
1.06,F,B3B2B2,F3A491
1.06,F,C1DDE0,D0D0E0
1.06,F,D0D0E0,C1DDE0
1.06,F,DADADA,E0DFF1
1.06,F,DADADA,FFDC98
1.06,F,E0DFF1,DADADA
1.06,F,E0DFF1,FFE5B3
1.06,F,EF826E,A2A4C1
1.06,F,F29330,A2A0D0
1.06,F,F3A491,B3B2B2
1.06,F,FED47A,FFDC98
1.06,F,FFDC98,DADADA
1.06,F,FFDC98,FED47A
1.06,F,FFE5B3,E0DFF1
1.06,F,FFEECE,FFF6E6
1.06,F,FFF6E6,FFEECE
1.07,F,79B989,A2A0D0
1.07,F,A0CAA7,ACBCC4
1.07,F,A0CAA7,BDC9CF
1.07,F,A1CAA6,ACBCC4
1.07,F,A1CAA6,BDC9CF
1.07,F,A2A0D0,79B989
1.07,F,ACBCC4,A0CAA7
1.07,F,ACBCC4,A1CAA6
1.07,F,BDC9CF,A0CAA7
1.07,F,BDC9CF,A1CAA6
1.07,F,C1DDE0,F8C5B6
1.07,F,CED6DB,FCD6B0
1.07,F,DFE3E7,E2EEE3
1.07,F,E0DFF1,FCE3DA
1.07,F,E0DFF1,FED47A
1.07,F,E2EEE3,DFE3E7
1.07,F,F8C5B6,C1DDE0
1.07,F,FCD6B0,CED6DB
1.07,F,FCE3DA,E0DFF1
1.07,F,FCE3DA,FFDC98
1.07,F,FCE3DA,FFEECE
1.07,F,FED47A,E0DFF1
1.07,F,FFDC98,FCE3DA
1.07,F,FFDC98,FFE5B3
1.07,F,FFE5B3,FFDC98
1.07,F,FFE5B3,FFEECE
1.07,F,FFEECE,FCE3DA
1.07,F,FFEECE,FFE5B3
1.07,F,FFF6E6,FFFFFF
1.07,F,FFFFFF,FFF6E6
1.08,F,79B989,B3B2B2
1.08,F,9BCBD0,F6AB5D
1.08,F,ACBCC4,B3B2B2
1.08,F,B3B2B2,79B989
1.08,F,B3B2B2,ACBCC4
1.08,F,C1BFE1,F6AB5D
1.08,F,C1DDE0,E0DFF1
1.08,F,C1DDE0,FFDC98
1.08,F,D0D0E0,FED47A
1.08,F,DADADA,DFE3E7
1.08,F,DFE3E7,DADADA
1.08,F,DFE3E7,E1EEF0
1.08,F,E0DFF1,C1DDE0
1.08,F,E1EEF0,DFE3E7
1.08,F,EFF1F3,FCE3DA
1.08,F,EFF1F3,FFE5B3
1.08,F,F6AB5D,9BCBD0
1.08,F,F6AB5D,C1BFE1
1.08,F,FCE3DA,EFF1F3
1.08,F,FDEBD8,FFF6E6
1.08,F,FED47A,D0D0E0
1.08,F,FFDC98,C1DDE0
1.08,F,FFE5B3,EFF1F3
1.08,F,FFF6E6,FDEBD8
1.09,F,2EA9B0,EF826E
1.09,F,6FBAC0,A2A4C1
1.09,F,9BCBD0,F9C187
1.09,F,A0CAA7,F3A491
1.09,F,A1CAA6,F3A491
1.09,F,A2A4C1,6FBAC0
1.09,F,ACBCC4,C1BFE1
1.09,F,B3B2B2,F6AB5D
1.09,F,BDC9CF,F8C5B6
1.09,F,C1BFE1,ACBCC4
1.09,F,CED6DB,F9C187
1.09,F,D0D0E0,DADADA
1.09,F,DADADA,D0D0E0
1.09,F,DFE3E7,FED47A
1.09,F,E0DFF1,E2EEE3
1.09,F,E2EEE3,E0DFF1
1.09,F,EF826E,2EA9B0
1.09,F,F3A491,A0CAA7
1.09,F,F3A491,A1CAA6
1.09,F,F6AB5D,B3B2B2
1.09,F,F8C5B6,BDC9CF
1.09,F,F8C5B6,FED47A
1.09,F,F9C187,9BCBD0
1.09,F,F9C187,CED6DB
1.09,F,FED47A,DFE3E7
1.09,F,FED47A,F8C5B6
1.10,F,9BCBD0,ACBCC4
1.10,F,ACBCC4,9BCBD0
1.10,F,B3B2B2,F29330
1.10,F,BDC9CF,D0D0E0
1.10,F,C1BFE1,F9C187
1.10,F,C1DDE0,DFE3E7
1.10,F,D0D0E0,BDC9CF
1.10,F,DADADA,F8C5B6
1.10,F,DFE3E7,C1DDE0
1.10,F,DFE3E7,FDEBD8
1.10,F,E0DFF1,E1EEF0
1.10,F,E1EEF0,E0DFF1
1.10,F,E1EEF0,FFDC98
1.10,F,E1EEF0,FFF6E6
1.10,F,E2EEE3,FFDC98
1.10,F,F29330,B3B2B2
1.10,F,F8C5B6,DADADA
1.10,F,F9C187,C1BFE1
1.10,F,FDEBD8,DFE3E7
1.10,F,FFDC98,E1EEF0
1.10,F,FFDC98,E2EEE3
1.10,F,FFF6E6,E1EEF0
1.11,F,6FBAC0,A2A0D0
1.11,F,6FBAC0,F3A491
1.11,F,A2A0D0,6FBAC0
1.11,F,CED6DB,FFDC98
1.11,F,D0D0E0,FCD6B0
1.11,F,E2EEE3,FFF6E6
1.11,F,EF826E,F29330
1.11,F,F29330,EF826E
1.11,F,F3A491,6FBAC0
1.11,F,FCD6B0,D0D0E0
1.11,F,FCD6B0,FCE3DA
1.11,F,FCD6B0,FFE5B3
1.11,F,FCE3DA,FCD6B0
1.11,F,FFDC98,CED6DB
1.11,F,FFE5B3,FCD6B0
1.11,F,FFF6E6,E2EEE3
1.12,F,79B989,EF826E
1.12,F,9BCBD0,F3A491
1.12,F,A1CAA6,F9C187
1.12,F,C1BFE1,F3A491
1.12,F,C1DDE0,F9C187
1.12,F,CED6DB,E0DFF1
1.12,F,DFE3E7,FFEECE
1.12,F,E0DFF1,CED6DB
1.12,F,E0DFF1,FDEBD8
1.12,F,EF826E,79B989
1.12,F,F3A491,9BCBD0
