   ,FFFFFF,1D1D1B,575656,878786,B3B2B2,DADADA,193E72,475989,747CA3,A2A4C1,D0D0E0,EA5D4E,EF826E,F3A491,F8C5B6,FCE3DA,F29330,F6AB5D,F9C187,FCD6B0,FDEBD8,FED47A,FFDC98,FFE5B3,FFEECE,FFF6E6,6567AD,8482BE,A2A0D0,C1BFE1,E0DFF1,2EA9B0,6FBAC0,9BCBD0,C1DDE0,E1EEF0,45A86C,79B989,A0CAA7,A1CAA6,E2EEE3,ACBCC4,BDC9CF,CED6DB,DFE3E7,EFF1F3
FFFFFF,F,AAA,AAA,G,F,F,AAA,AA,G,F,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,AA,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
1D1D1B,AAA,F,F,AA,AAA,AAA,F,F,G,AA,AAA,AA,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,G,AA,AA,AAA,AAA,AA,AAA,AAA,AAA,AAA,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
575656,AAA,F,F,F,G,AA,F,F,F,G,AA,F,F,G,AA,AA,G,G,AA,AA,AA,AA,AA,AA,AA,AA,F,F,F,G,AA,F,G,G,AA,AA,F,G,G,G,AA,G,G,AA,AA,AA
878786,G,AA,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G,F,F,F,G,G,F,F,F,F,F,F,F,F,F,G,F,F,F,F,G,F,F,F,F,G
B3B2B2,F,AAA,G,F,F,F,AA,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DADADA,F,AAA,AA,F,F,F,AAA,AA,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
193E72,AAA,F,F,F,AA,AAA,F,F,F,G,AA,G,G,AA,AA,AAA,AA,AA,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,F,F,G,AA,AAA,G,AA,AA,AAA,AAA,G,AA,AA,AA,AAA,AA,AA,AAA,AAA,AAA
475989,AA,F,F,F,G,AA,F,F,F,F,AA,F,F,G,G,AA,F,G,G,AA,AA,AA,AA,AA,AA,AA,F,F,F,G,AA,F,G,G,AA,AA,F,F,G,G,AA,G,G,AA,AA,AA
747CA3,G,G,F,F,F,F,F,F,F,F,F,F,F,F,F,G,F,F,F,F,G,F,G,G,G,G,F,F,F,F,G,F,F,F,F,G,F,F,F,F,G,F,F,F,G,G
A2A4C1,F,AA,G,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
D0D0E0,F,AAA,AA,F,F,F,AA,AA,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
EA5D4E,G,AA,F,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G
EF826E,F,AA,F,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
F3A491,F,AAA,G,F,F,F,AA,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
F8C5B6,F,AAA,AA,F,F,F,AA,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
