Ratio,Rating,FG Color,BG Color
1.00,F,C1D100,FCBC00
1.00,F,E73037,E73238
1.00,F,E73238,E73037
1.00,F,FCBC00,C1D100
1,F,002E3B,002E3B
1,F,005C48,005C48
1,F,1E8765,1E8765
1,F,231F20,231F20
1,F,3CBAC6,3CBAC6
1,F,495961,495961
1,F,4BB694,4BB694
1,F,74C9E5,74C9E5
1,F,758D9A,758D9A
1,F,8D3970,8D3970
1,F,9FB1BD,9FB1BD
1,F,B3DBD2,B3DBD2
1,F,C1D100,C1D100
1,F,D5007F,D5007F
1,F,E1E8EC,E1E8EC
1,F,E73037,E73037
1,F,E73238,E73238
1,F,EF7D00,EF7D00
1,F,FCBC00,FCBC00
1,F,FFFFFF,FFFFFF
1.02,F,495961,8D3970
1.02,F,8D3970,495961
1.03,F,1E8765,E73037
1.03,F,E73037,1E8765
1.04,F,1E8765,E73238
1.04,F,E73238,1E8765
1.05,F,3CBAC6,9FB1BD
1.05,F,9FB1BD,3CBAC6
1.07,F,3CBAC6,4BB694
1.07,F,4BB694,3CBAC6
1.09,F,005C48,495961
1.09,F,495961,005C48
1.09,F,74C9E5,FCBC00
1.09,F,FCBC00,74C9E5
1.10,F,4BB694,EF7D00
1.10,F,74C9E5,C1D100
1.10,F,C1D100,74C9E5
1.10,F,EF7D00,4BB694
1.12,F,002E3B,231F20
1.12,F,005C48,8D3970
1.12,F,231F20,002E3B
1.12,F,4BB694,9FB1BD
1.12,F,8D3970,005C48
1.12,F,9FB1BD,4BB694
1.12,F,B3DBD2,C1D100
1.12,F,C1D100,B3DBD2
1.13,F,1E8765,D5007F
1.13,F,B3DBD2,FCBC00
1.13,F,D5007F,1E8765
1.13,F,FCBC00,B3DBD2
1.17,F,D5007F,E73037
1.17,F,E73037,D5007F
1.18,F,3CBAC6,EF7D00
1.18,F,74C9E5,9FB1BD
1.18,F,9FB1BD,74C9E5
1.18,F,D5007F,E73238
1.18,F,E73238,D5007F
1.18,F,EF7D00,3CBAC6
1.21,F,B3DBD2,E1E8EC
1.21,F,E1E8EC,B3DBD2
1.22,F,758D9A,E73238
1.22,F,E73238,758D9A
1.23,F,758D9A,E73037
