   ,FFFFFF,E1E8EC,9FB1BD,495961,758D9A,231F20,005C48,74C9E5,3CBAC6,B3DBD2,4BB694,C1D100,FCBC00,EF7D00,E73037,D5007F,8D3970,002E3B,1E8765,E73238
FFFFFF,1,1.23,2.21,7.27,3.48,16.3,8.00,1.87,2.32,1.50,2.49,1.69,1.70,2.76,4.30,5.07,7.11,14.4,4.45,4.27
E1E8EC,1.23,1,1.78,5.87,2.81,13.1,6.46,1.51,1.87,1.21,2.01,1.36,1.37,2.22,3.47,4.09,5.74,11.6,3.60,3.45
9FB1BD,2.21,1.78,1,3.29,1.57,7.37,3.61,1.18,1.05,1.47,1.12,1.30,1.29,1.24,1.94,2.29,3.21,6.53,2.01,1.93
495961,7.27,5.87,3.29,1,2.09,2.23,1.09,3.89,3.13,4.84,2.91,4.29,4.27,2.63,1.69,1.43,1.02,1.98,1.63,1.70
758D9A,3.48,2.81,1.57,2.09,1,4.68,2.29,1.86,1.49,2.31,1.39,2.05,2.04,1.26,1.23,1.45,2.04,4.14,1.28,1.22
231F20,16.3,13.1,7.37,2.23,4.68,1,2.03,8.71,7.01,10.8,6.53,9.61,9.57,5.90,3.78,3.21,2.29,1.12,3.65,3.81
005C48,8.00,6.46,3.61,1.09,2.29,2.03,1,4.27,3.44,5.32,3.20,4.72,4.69,2.89,1.85,1.57,1.12,1.80,1.79,1.87
74C9E5,1.87,1.51,1.18,3.89,1.86,8.71,4.27,1,1.24,1.24,1.33,1.10,1.09,1.47,2.30,2.71,3.80,7.72,2.38,2.28
3CBAC6,2.32,1.87,1.05,3.13,1.49,7.01,3.44,1.24,1,1.54,1.07,1.37,1.36,1.18,1.85,2.18,3.05,6.21,1.91,1.83
B3DBD2,1.50,1.21,1.47,4.84,2.31,10.8,5.32,1.24,1.54,1,1.66,1.12,1.13,1.83,2.86,3.38,4.73,9.61,2.96,2.84
4BB694,2.49,2.01,1.12,2.91,1.39,6.53,3.20,1.33,1.07,1.66,1,1.47,1.46,1.10,1.72,2.03,2.85,5.78,1.78,1.71
C1D100,1.69,1.36,1.30,4.29,2.05,9.61,4.72,1.10,1.37,1.12,1.47,1,1.00,1.62,2.54,2.99,4.19,8.52,2.63,2.52
FCBC00,1.70,1.37,1.29,4.27,2.04,9.57,4.69,1.09,1.36,1.13,1.46,1.00,1,1.62,2.52,2.98,4.17,8.48,2.61,2.51
EF7D00,2.76,2.22,1.24,2.63,1.26,5.90,2.89,1.47,1.18,1.83,1.10,1.62,1.62,1,1.55,1.83,2.57,5.22,1.61,1.54
E73037,4.30,3.47,1.94,1.69,1.23,3.78,1.85,2.30,1.85,2.86,1.72,2.54,2.52,1.55,1,1.17,1.65,3.35,1.03,1.00
D5007F,5.07,4.09,2.29,1.43,1.45,3.21,1.57,2.71,2.18,3.38,2.03,2.99,2.98,1.83,1.17,1,1.40,2.84,1.13,1.18
8D3970,7.11,5.74,3.21,1.02,2.04,2.29,1.12,3.80,3.05,4.73,2.85,4.19,4.17,2.57,1.65,1.40,1,2.03,1.59,1.66
002E3B,14.4,11.6,6.53,1.98,4.14,1.12,1.80,7.72,6.21,9.61,5.78,8.52,8.48,5.22,3.35,2.84,2.03,1,3.23,3.37
1E8765,4.45,3.60,2.01,1.63,1.28,3.65,1.79,2.38,1.91,2.96,1.78,2.63,2.61,1.61,1.03,1.13,1.59,3.23,1,1.04
E73238,4.27,3.45,1.93,1.70,1.22,3.81,1.87,2.28,1.83,2.84,1.71,2.52,2.51,1.54,1.00,1.18,1.66,3.37,1.04,1
