Ratio,Rating,FG Color,BG Color
1.00,F,005C84,495961
1.00,F,495961,005C84
1,F,005C84,005C84
1,F,495961,495961
1,F,4BB694,4BB694
1,F,E1E8EC,E1E8EC
1,F,FCBC00,FCBC00
1,F,FFFFFF,FFFFFF
1.23,F,E1E8EC,FFFFFF
1.23,F,FFFFFF,E1E8EC
1.37,F,E1E8EC,FCBC00
1.37,F,FCBC00,E1E8EC
1.46,F,4BB694,FCBC00
1.46,F,FCBC00,4BB694
1.70,F,FCBC00,FFFFFF
1.70,F,FFFFFF,FCBC00
2.01,F,4BB694,E1E8EC
2.01,F,E1E8EC,4BB694
2.49,F,4BB694,FFFFFF
2.49,F,FFFFFF,4BB694
2.91,F,495961,4BB694
2.91,F,4BB694,495961
2.93,F,005C84,4BB694
2.93,F,4BB694,005C84
4.27,G,495961,FCBC00
4.27,G,FCBC00,495961
4.30,G,005C84,FCBC00
4.30,G,FCBC00,005C84
5.87,AA,495961,E1E8EC
5.87,AA,E1E8EC,495961
5.92,AA,005C84,E1E8EC
5.92,AA,E1E8EC,005C84
7.27,AAA,495961,FFFFFF
7.27,AAA,FFFFFF,495961
7.33,AAA,005C84,FFFFFF
7.33,AAA,FFFFFF,005C84
