Ratio,Rating,FG Color,BG Color
1.00,F,05345C,671115
1.00,F,671115,05345C
1,F,003882,003882
1,F,05345C,05345C
1,F,133520,133520
1,F,345235,345235
1,F,671115,671115
1,F,937227,937227
1,F,9CA1BD,9CA1BD
1,F,FFFFFF,FFFFFF
1.06,F,05345C,133520
1.06,F,133520,05345C
1.07,F,133520,671115
1.07,F,671115,133520
1.13,F,003882,671115
1.13,F,671115,003882
1.14,F,003882,05345C
1.14,F,05345C,003882
1.21,F,003882,133520
1.21,F,133520,003882
1.27,F,003882,345235
1.27,F,345235,003882
1.44,F,345235,671115
1.44,F,671115,345235
1.45,F,05345C,345235
1.45,F,345235,05345C
1.54,F,133520,345235
1.54,F,345235,133520
1.76,F,937227,9CA1BD
1.76,F,9CA1BD,937227
1.94,F,345235,937227
1.94,F,937227,345235
2.47,F,003882,937227
2.47,F,937227,003882
2.54,F,9CA1BD,FFFFFF
2.54,F,FFFFFF,9CA1BD
2.80,F,671115,937227
2.80,F,937227,671115
2.83,F,05345C,937227
2.83,F,937227,05345C
3.00,G,133520,937227
3.00,G,937227,133520
3.42,G,345235,9CA1BD
3.42,G,9CA1BD,345235
4.36,G,003882,9CA1BD
4.36,G,9CA1BD,003882
4.49,G,937227,FFFFFF
4.49,G,FFFFFF,937227
4.94,AA,671115,9CA1BD
4.94,AA,9CA1BD,671115
4.99,AA,05345C,9CA1BD
4.99,AA,9CA1BD,05345C
5.29,AA,133520,9CA1BD
5.29,AA,9CA1BD,133520
8.73,AAA,345235,FFFFFF
8.73,AAA,FFFFFF,345235
11.1,AAA,003882,FFFFFF
11.1,AAA,FFFFFF,003882
12.5,AAA,671115,FFFFFF
12.5,AAA,FFFFFF,671115
12.7,AAA,05345C,FFFFFF
12.7,AAA,FFFFFF,05345C
13.4,AAA,133520,FFFFFF
13.4,AAA,FFFFFF,133520
