Ratio,Rating,FG Color,BG Color
1.00,F,003784,6c0370
1.00,F,005c84,495961
1.00,F,0c8c41,e63037
1.00,F,495961,005c84
1.00,F,6c0370,003784
1.00,F,83db8c,d1c6c0
1.00,F,c9f7f0,cfff00
1.00,F,c9f7f0,d4f7c9
1.00,F,cbebfd,e1e8ec
1.00,F,cbebfd,ece6e1
1.00,F,cfff00,c9f7f0
1.00,F,cfff00,d4f7c9
1.00,F,d1c6c0,83db8c
1.00,F,d4f7c9,c9f7f0
1.00,F,d4f7c9,cfff00
1.00,F,e1e8ec,cbebfd
1.00,F,e1e8ec,ece6e1
1.00,F,e63037,0c8c41
1.00,F,ece6e1,cbebfd
1.00,F,ece6e1,e1e8ec
1.00,F,f5f5f5,fff4dd
1.00,F,fafafa,fbf9f7
1.00,F,fbf9f7,fafafa
1.00,F,fff4dd,f5f5f5
1,F,002f4c,002f4c
1,F,003784,003784
1,F,00403e,00403e
1,F,005c84,005c84
1,F,00b0b3,00b0b3
1,F,00ddff,00ddff
1,F,00ffae,00ffae
1,F,01530d,01530d
1,F,0265ca,0265ca
1,F,0c838c,0c838c
1,F,0c8c41,0c8c41
1,F,111111,111111
1,F,3e3836,3e3836
1,F,495961,495961
1,F,5a0202,5a0202
1,F,68b9e8,68b9e8
1,F,6c0370,6c0370
1,F,706b69,706b69
1,F,758d9a,758d9a
1,F,83db8c,83db8c
1,F,83dbd2,83dbd2
1,F,8bd100,8bd100
1,F,91dcf4,91dcf4
1,F,9eb1bd,9eb1bd
1,F,b3a59d,b3a59d
1,F,c9f7f0,c9f7f0
1,F,cbebfd,cbebfd
1,F,cfff00,cfff00
1,F,d1c6c0,d1c6c0
1,F,d4f7c9,d4f7c9
1,F,d500a0,d500a0
1,F,db83d4,db83d4
1,F,e1e8ec,e1e8ec
1,F,e63037,e63037
1,F,ea42cb,ea42cb
1,F,ece1ec,ece1ec
1,F,ece6e1,ece6e1
1,F,ef7d00,ef7d00
1,F,f5f5f5,f5f5f5
1,F,fafafa,fafafa
1,F,fbf9f7,fbf9f7
1,F,fbfc00,fbfc00
1,F,fcbc00,fcbc00
1,F,ff34d3,ff34d3
1,F,fff4dd,fff4dd
1.01,F,00403e,3e3836
1.01,F,00ddff,83dbd2
1.01,F,00ddff,d1c6c0
1.01,F,3e3836,00403e
1.01,F,758d9a,ea42cb
1.01,F,83db8c,fcbc00
1.01,F,83dbd2,00ddff
1.01,F,cbebfd,ece1ec
1.01,F,d1c6c0,00ddff
1.01,F,d1c6c0,fcbc00
1.01,F,ea42cb,758d9a
1.01,F,ece1ec,cbebfd
1.01,F,f5f5f5,fbfc00
1.01,F,fbfc00,f5f5f5
1.01,F,fbfc00,fff4dd
1.01,F,fcbc00,83db8c
1.01,F,fcbc00,d1c6c0
1.01,F,fff4dd,fbfc00
1.02,F,00ddff,83db8c
1.02,F,68b9e8,9eb1bd
