   ,002f4c,005c84,fafafa,003784,0265ca,68b9e8,91dcf4,cbebfd,00ddff,111111,3e3836,706b69,b3a59d,d1c6c0,ece6e1,fbf9f7,495961,758d9a,9eb1bd,e1e8ec,f5f5f5,00403e,0c838c,00b0b3,83dbd2,c9f7f0,00ffae,01530d,0c8c41,8bd100,83db8c,d4f7c9,cfff00,5a0202,e63037,ef7d00,fcbc00,fff4dd,fbfc00,6c0370,d500a0,ea42cb,db83d4,ece1ec,ff34d3
002f4c,1,1.89,13.3,1.24,2.45,6.41,9.09,11.1,8.46,1.35,1.20,2.64,5.81,8.30,11.2,13.2,1.90,3.99,6.27,11.2,12.7,1.19,3.07,5.20,8.62,11.9,10.5,1.48,3.20,7.42,8.25,11.8,11.8,1.04,3.20,5.03,8.16,12.7,12.5,1.24,2.87,4.06,5.43,10.9,4.42
005c84,1.89,1,7.02,1.52,1.29,3.38,4.80,5.88,4.46,2.57,1.57,1.39,3.06,4.38,5.92,6.98,1.00,2.10,3.30,5.92,6.72,1.58,1.62,2.74,4.54,6.30,5.55,1.27,1.69,3.91,4.35,6.26,6.26,1.98,1.69,2.65,4.30,6.71,6.64,1.51,1.51,2.14,2.86,5.77,2.33
fafafa,13.3,7.02,1,10.7,5.41,2.07,1.46,1.19,1.57,18.0,11.0,5.03,2.29,1.60,1.18,1.00,6.97,3.33,2.12,1.18,1.04,11.1,4.33,2.55,1.54,1.11,1.26,8.96,4.15,1.79,1.61,1.12,1.12,13.9,4.15,2.64,1.63,1.04,1.05,10.6,4.63,3.27,2.45,1.21,3.01
003784,1.24,1.52,10.7,1,1.97,5.15,7.31,8.95,6.80,1.69,1.03,2.12,4.67,6.67,9.02,10.6,1.53,3.20,5.04,9.02,10.2,1.04,2.46,4.18,6.93,9.60,8.46,1.19,2.57,5.96,6.63,9.54,9.55,1.30,2.57,4.04,6.56,10.2,10.1,1.00,2.30,3.26,4.36,8.80,3.55
0265ca,2.45,1.29,5.41,1.97,1,2.60,3.69,4.53,3.44,3.34,2.03,1.07,2.36,3.37,4.56,5.37,1.28,1.62,2.54,4.56,5.18,2.06,1.24,2.11,3.50,4.85,4.28,1.65,1.30,3.01,3.35,4.82,4.83,2.57,1.30,2.04,3.31,5.17,5.11,1.97,1.16,1.65,2.20,4.45,1.79
68b9e8,6.41,3.38,2.07,5.15,2.60,1,1.41,1.73,1.31,8.71,5.31,2.42,1.10,1.29,1.75,2.06,3.36,1.60,1.02,1.74,1.98,5.37,2.08,1.23,1.34,1.86,1.64,4.31,2.00,1.15,1.28,1.85,1.85,6.71,2.00,1.27,1.27,1.98,1.96,5.14,2.23,1.57,1.18,1.70,1.45
91dcf4,9.09,4.80,1.46,7.31,3.69,1.41,1,1.22,1.07,12.3,7.53,3.44,1.56,1.09,1.23,1.45,4.76,2.27,1.45,1.23,1.40,7.62,2.96,1.74,1.05,1.31,1.15,6.12,2.83,1.22,1.10,1.30,1.30,9.51,2.83,1.80,1.11,1.39,1.38,7.29,3.16,2.23,1.67,1.20,2.05
cbebfd,11.1,5.88,1.19,8.95,4.53,1.73,1.22,1,1.31,15.1,9.23,4.21,1.91,1.34,1.00,1.18,5.83,2.79,1.77,1.00,1.14,9.34,3.62,2.14,1.29,1.07,1.05,7.50,3.47,1.50,1.34,1.06,1.06,11.6,3.47,2.21,1.36,1.14,1.12,8.93,3.88,2.74,2.05,1.01,2.51
00ddff,8.46,4.46,1.57,6.80,3.44,1.31,1.07,1.31,1,11.4,7.01,3.19,1.45,1.01,1.32,1.56,4.43,2.11,1.34,1.32,1.50,7.09,2.75,1.62,1.01,1.41,1.24,5.69,2.64,1.13,1.02,1.40,1.40,8.85,2.64,1.68,1.03,1.50,1.48,6.78,2.94,2.08,1.55,1.29,1.91
111111,1.35,2.57,18.0,1.69,3.34,8.71,12.3,15.1,11.4,1,1.63,3.59,7.90,11.2,15.2,17.9,2.59,5.42,8.52,15.2,17.3,1.62,4.17,7.06,11.7,16.2,14.3,2.01,4.35,10.0,11.2,16.1,16.1,1.29,4.35,6.83,11.0,17.2,17.1,1.69,3.89,5.52,7.38,14.8,6.01
3e3836,1.20,1.57,11.0,1.03,2.03,5.31,7.53,9.23,7.01,1.63,1,2.19,4.81,6.88,9.30,10.9,1.58,3.30,5.19,9.29,10.5,1.01,2.54,4.31,7.14,9.89,8.72,1.23,2.65,6.15,6.84,9.84,9.84,1.26,2.65,4.16,6.76,10.5,10.4,1.03,2.37,3.36,4.50,9.07,3.66
706b69,2.64,1.39,5.03,2.12,1.07,2.42,3.44,4.21,3.19,3.59,2.19,1,2.19,3.14,4.24,5.00,1.38,1.50,2.37,4.24,4.82,2.21,1.16,1.96,3.26,4.51,3.98,1.78,1.21,2.80,3.12,4.49,4.49,2.76,1.21,1.90,3.08,4.81,4.76,2.12,1.08,1.53,2.05,4.14,1.67
b3a59d,5.81,3.06,2.29,4.67,2.36,1.10,1.56,1.91,1.45,7.90,4.81,2.19,1,1.42,1.93,2.27,3.04,1.45,1.07,1.92,2.19,4.87,1.89,1.11,1.48,2.05,1.81,3.91,1.81,1.27,1.42,2.04,2.04,6.08,1.81,1.15,1.40,2.18,2.16,4.66,2.02,1.43,1.07,1.88,1.31
d1c6c0,8.30,4.38,1.60,6.67,3.37,1.29,1.09,1.34,1.01,11.2,6.88,3.14,1.42,1,1.35,1.59,4.35,2.08,1.32,1.35,1.53,6.96,2.70,1.59,1.03,1.43,1.26,5.59,2.59,1.11,1.00,1.43,1.43,8.68,2.59,1.65,1.01,1.53,1.51,6.65,2.89,2.04,1.52,1.31,1.87
ece6e1,11.2,5.92,1.18,9.02,4.56,1.75,1.23,1.00,1.32,15.2,9.30,4.24,1.93,1.35,1,1.17,5.88,2.81,1.79,1.00,1.13,9.41,3.65,2.15,1.30,1.06,1.06,7.56,3.50,1.51,1.36,1.05,1.05,11.7,3.50,2.23,1.37,1.13,1.12,9.00,3.91,2.76,2.06,1.02,2.53
fbf9f7,13.2,6.98,1.00,10.6,5.37,2.06,1.45,1.18,1.56,17.9,10.9,5.00,2.27,1.59,1.17,1,6.93,3.31,2.10,1.17,1.03,11.0,4.30,2.54,1.53,1.10,1.25,8.90,4.12,1.78,1.60,1.11,1.11,13.8,4.12,2.62,1.62,1.03,1.05,10.6,4.61,3.25,2.43,1.20,2.99
495961,1.90,1.00,6.97,1.53,1.28,3.36,4.76,5.83,4.43,2.59,1.58,1.38,3.04,4.35,5.88,6.93,1,2.09,3.28,5.87,6.67,1.60,1.60,2.72,4.51,6.25,5.51,1.28,1.67,3.88,4.32,6.22,6.22,1.99,1.67,2.63,4.27,6.66,6.59,1.53,1.50,2.12,2.84,5.73,2.31
758d9a,3.99,2.10,3.33,3.20,1.62,1.60,2.27,2.79,2.11,5.42,3.30,1.50,1.45,2.08,2.81,3.31,2.09,1,1.57,2.81,3.19,3.34,1.29,1.30,2.15,2.99,2.63,2.68,1.24,1.85,2.06,2.97,2.97,4.17,1.24,1.26,2.04,3.18,3.15,3.20,1.39,1.01,1.36,2.74,1.10
9eb1bd,6.27,3.30,2.12,5.04,2.54,1.02,1.45,1.77,1.34,8.52,5.19,2.37,1.07,1.32,1.79,2.10,3.28,1.57,1,1.78,2.03,5.25,2.04,1.20,1.37,1.90,1.67,4.22,1.95,1.18,1.31,1.89,1.89,6.56,1.95,1.24,1.30,2.02,2.00,5.02,2.18,1.54,1.15,1.74,1.41
e1e8ec,11.2,5.92,1.18,9.02,4.56,1.74,1.23,1.00,1.32,15.2,9.29,4.24,1.92,1.35,1.00,1.17,5.87,2.81,1.78,1,1.13,9.40,3.65,2.15,1.30,1.06,1.06,7.55,3.50,1.51,1.35,1.05,1.05,11.7,3.50,2.22,1.37,1.13,1.12,8.99,3.90,2.76,2.06,1.02,2.53
f5f5f5,12.7,6.72,1.04,10.2,5.18,1.98,1.40,1.14,1.50,17.3,10.5,4.82,2.19,1.53,1.13,1.03,6.67,3.19,2.03,1.13,1,10.6,4.15,2.45,1.47,1.06,1.21,8.58,3.97,1.71,1.54,1.07,1.07,13.3,3.97,2.53,1.56,1.00,1.01,10.2,4.44,3.13,2.34,1.16,2.88
00403e,1.19,1.58,11.1,1.04,2.06,5.37,7.62,9.34,7.09,1.62,1.01,2.21,4.87,6.96,9.41,11.0,1.60,3.34,5.25,9.40,10.6,1,2.57,4.36,7.22,10.0,8.82,1.24,2.68,6.22,6.92,9.95,9.96,1.24,2.68,4.21,6.84,10.6,10.5,1.04,2.40,3.40,4.55,9.17,3.70
0c838c,3.07,1.62,4.33,2.46,1.24,2.08,2.96,3.62,2.75,4.17,2.54,1.16,1.89,2.70,3.65,4.30,1.60,1.29,2.04,3.65,4.15,2.57,1,1.69,2.80,3.88,3.42,2.06,1.04,2.41,2.68,3.86,3.86,3.21,1.04,1.63,2.65,4.14,4.09,2.46,1.07,1.32,1.76,3.56,1.44
00b0b3,5.20,2.74,2.55,4.18,2.11,1.23,1.74,2.14,1.62,7.06,4.31,1.96,1.11,1.59,2.15,2.54,2.72,1.30,1.20,2.15,2.45,4.36,1.69,1,1.65,2.29,2.02,3.50,1.62,1.42,1.58,2.28,2.28,5.44,1.62,1.03,1.56,2.44,2.42,4.17,1.81,1.28,1.04,2.10,1.17
