   ,002f4c,005c84,fafafa,003784,0265ca,68b9e8,91dcf4,cbebfd,00ddff,111111,3e3836,706b69,b3a59d,d1c6c0,ece6e1,fbf9f7,495961,758d9a,9eb1bd,e1e8ec,f5f5f5,00403e,0c838c,00b0b3,83dbd2,c9f7f0,00ffae,01530d,0c8c41,8bd100,83db8c,d4f7c9,cfff00,5a0202,e63037,ef7d00,fcbc00,fff4dd,fbfc00,6c0370,d500a0,ea42cb,db83d4,ece1ec,ff34d3
002f4c,F,F,AAA,F,F,AA,AAA,AAA,AAA,F,F,F,AA,AAA,AAA,AAA,F,G,AA,AAA,AAA,F,G,AA,AAA,AAA,AAA,F,G,AAA,AAA,AAA,AAA,F,G,AA,AAA,AAA,AAA,F,F,G,AA,AAA,G
005c84,F,F,AAA,F,F,G,AA,AA,G,F,F,F,G,G,AA,AA,F,F,G,AA,AA,F,F,F,AA,AA,AA,F,F,G,G,AA,AA,F,F,F,G,AA,AA,F,F,F,F,AA,F
fafafa,AAA,AAA,F,AAA,AA,F,F,F,F,AAA,AAA,AA,F,F,F,F,AA,G,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,AA,G,F,F,G
003784,F,F,AAA,F,F,AA,AAA,AAA,AA,F,F,F,AA,AA,AAA,AAA,F,G,AA,AAA,AAA,F,F,G,AA,AAA,AAA,F,F,AA,AA,AAA,AAA,F,F,G,AA,AAA,AAA,F,F,G,G,AAA,G
0265ca,F,F,AA,F,F,F,G,AA,G,G,F,F,F,G,AA,AA,F,F,F,AA,AA,F,F,F,G,AA,G,F,F,G,G,AA,AA,F,F,F,G,AA,AA,F,F,F,F,G,F
68b9e8,AA,G,F,AA,F,F,F,F,F,AAA,AA,F,F,F,F,F,G,F,F,F,F,AA,F,F,F,F,F,G,F,F,F,F,F,AA,F,F,F,F,F,AA,F,F,F,F,F
91dcf4,AAA,AA,F,AAA,G,F,F,F,F,AAA,AAA,G,F,F,F,F,AA,F,F,F,F,AAA,F,F,F,F,F,AA,F,F,F,F,F,AAA,F,F,F,F,F,AAA,G,F,F,F,F
cbebfd,AAA,AA,F,AAA,AA,F,F,F,F,AAA,AAA,G,F,F,F,F,AA,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F
00ddff,AAA,G,F,AA,G,F,F,F,F,AAA,AAA,G,F,F,F,F,G,F,F,F,F,AAA,F,F,F,F,F,AA,F,F,F,F,F,AAA,F,F,F,F,F,AA,F,F,F,F,F
111111,F,F,AAA,F,G,AAA,AAA,AAA,AAA,F,F,G,AAA,AAA,AAA,AAA,F,AA,AAA,AAA,AAA,F,G,AAA,AAA,AAA,AAA,F,G,AAA,AAA,AAA,AAA,F,G,AA,AAA,AAA,AAA,F,G,AA,AAA,AAA,AA
3e3836,F,F,AAA,F,F,AA,AAA,AAA,AAA,F,F,F,AA,AA,AAA,AAA,F,G,AA,AAA,AAA,F,F,G,AAA,AAA,AAA,F,F,AA,AA,AAA,AAA,F,F,G,AA,AAA,AAA,F,F,G,AA,AAA,G
706b69,F,F,AA,F,F,F,G,G,G,G,F,F,F,G,G,AA,F,F,F,G,AA,F,F,F,G,AA,G,F,F,F,G,G,G,F,F,F,G,AA,AA,F,F,F,F,G,F
b3a59d,AA,G,F,AA,F,F,F,F,F,AAA,AA,F,F,F,F,F,G,F,F,F,F,AA,F,F,F,F,F,G,F,F,F,F,F,AA,F,F,F,F,F,AA,F,F,F,F,F
d1c6c0,AAA,G,F,AA,G,F,F,F,F,AAA,AA,G,F,F,F,F,G,F,F,F,F,AA,F,F,F,F,F,AA,F,F,F,F,F,AAA,F,F,F,F,F,AA,F,F,F,F,F
ece6e1,AAA,AA,F,AAA,AA,F,F,F,F,AAA,AAA,G,F,F,F,F,AA,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F
fbf9f7,AAA,AA,F,AAA,AA,F,F,F,F,AAA,AAA,AA,F,F,F,F,AA,G,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,G,F,F,F,F,AAA,AA,G,F,F,F
