   ,000000,FFFFFF,C00000,FF0000,FFC000,FFFF00,92D050,00B050,00B0f0,0070C0,002060,7030A0
000000,1,21,3.24,5.25,12.7,19.5,11.3,7.32,8.46,4.07,1.37,2.61
FFFFFF,21,1,6.47,3.99,1.64,1.07,1.84,2.86,2.47,5.14,15.2,8.01
C00000,3.24,6.47,1,1.62,3.94,6.03,3.50,2.26,2.61,1.25,2.35,1.23
FF0000,5.25,3.99,1.62,1,2.43,3.72,2.16,1.39,1.61,1.28,3.81,2.00
FFC000,12.7,1.64,3.94,2.43,1,1.52,1.12,1.74,1.51,3.13,9.29,4.88
FFFF00,19.5,1.07,6.03,3.72,1.52,1,1.72,2.66,2.30,4.79,14.2,7.46
92D050,11.3,1.84,3.50,2.16,1.12,1.72,1,1.55,1.34,2.78,8.25,4.33
00B050,7.32,2.86,2.26,1.39,1.74,2.66,1.55,1,1.15,1.79,5.32,2.79
00B0f0,8.46,2.47,2.61,1.61,1.51,2.30,1.34,1.15,1,2.07,6.15,3.23
0070C0,4.07,5.14,1.25,1.28,3.13,4.79,2.78,1.79,2.07,1,2.96,1.55
002060,1.37,15.2,2.35,3.81,9.29,14.2,8.25,5.32,6.15,2.96,1,1.90
7030A0,2.61,8.01,1.23,2.00,4.88,7.46,4.33,2.79,3.23,1.55,1.90,1
