   ,FFFFFF,E1E8EC,9FB1BD,495961,758D9A,4E5961,FCBC00,B3DBD2,005C84,C1D100,EF7D00,3CBAC6,E73037,FCB000,4BB694,8D3970
FFFFFF,1,1.23,2.21,7.27,3.48,7.17,1.70,1.50,7.33,1.69,2.76,2.32,4.30,1.85,2.49,7.11
E1E8EC,1.23,1,1.78,5.87,2.81,5.79,1.37,1.21,5.92,1.36,2.22,1.87,3.47,1.49,2.01,5.74
9FB1BD,2.21,1.78,1,3.29,1.57,3.24,1.29,1.47,3.31,1.30,1.24,1.05,1.94,1.19,1.12,3.21
495961,7.27,5.87,3.29,1,2.09,1.01,4.27,4.84,1.00,4.29,2.63,3.13,1.69,3.93,2.91,1.02
758D9A,3.48,2.81,1.57,2.09,1,2.06,2.04,2.31,2.10,2.05,1.26,1.49,1.23,1.88,1.39,2.04
4E5961,7.17,5.79,3.24,1.01,2.06,1,4.21,4.77,1.02,4.23,2.59,3.08,1.66,3.87,2.87,1.00
FCBC00,1.70,1.37,1.29,4.27,2.04,4.21,1,1.13,4.30,1.00,1.62,1.36,2.52,1.08,1.46,4.17
B3DBD2,1.50,1.21,1.47,4.84,2.31,4.77,1.13,1,4.88,1.12,1.83,1.54,2.86,1.23,1.66,4.73
005C84,7.33,5.92,3.31,1.00,2.10,1.02,4.30,4.88,1,4.32,2.65,3.15,1.70,3.96,2.93,1.03
C1D100,1.69,1.36,1.30,4.29,2.05,4.23,1.00,1.12,4.32,1,1.62,1.37,2.54,1.09,1.47,4.19
EF7D00,2.76,2.22,1.24,2.63,1.26,2.59,1.62,1.83,2.65,1.62,1,1.18,1.55,1.49,1.10,2.57
3CBAC6,2.32,1.87,1.05,3.13,1.49,3.08,1.36,1.54,3.15,1.37,1.18,1,1.85,1.25,1.07,3.05
E73037,4.30,3.47,1.94,1.69,1.23,1.66,2.52,2.86,1.70,2.54,1.55,1.85,1,2.32,1.72,1.65
FCB000,1.85,1.49,1.19,3.93,1.88,3.87,1.08,1.23,3.96,1.09,1.49,1.25,2.32,1,1.34,3.84
4BB694,2.49,2.01,1.12,2.91,1.39,2.87,1.46,1.66,2.93,1.47,1.10,1.07,1.72,1.34,1,2.85
8D3970,7.11,5.74,3.21,1.02,2.04,1.00,4.17,4.73,1.03,4.19,2.57,3.05,1.65,3.84,2.85,1
