   ,FFFFFF,E1E8EC,9FB1BD,495961,758D9A,4E5961,FCBC00,B3DBD2,005C84,C1D100,EF7D00,3CBAC6,E73037,FCB000,4BB694,8D3970
FFFFFF,F,F,F,AAA,G,AAA,F,F,AAA,F,F,F,G,F,F,AAA
E1E8EC,F,F,F,AA,F,AA,F,F,AA,F,F,F,G,F,F,AA
9FB1BD,F,F,F,G,F,G,F,F,G,F,F,F,F,F,F,G
495961,AAA,AA,G,F,F,F,G,AA,F,G,F,G,F,G,F,F
758D9A,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
4E5961,AAA,AA,G,F,F,F,G,AA,F,G,F,G,F,G,F,F
FCBC00,F,F,F,G,F,G,F,F,G,F,F,F,F,F,F,G
B3DBD2,F,F,F,AA,F,AA,F,F,AA,F,F,F,F,F,F,AA
005C84,AAA,AA,G,F,F,F,G,AA,F,G,F,G,F,G,F,F
C1D100,F,F,F,G,F,G,F,F,G,F,F,F,F,F,F,G
EF7D00,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3CBAC6,F,F,F,G,F,G,F,F,G,F,F,F,F,F,F,G
E73037,G,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F
FCB000,F,F,F,G,F,G,F,F,G,F,F,F,F,F,F,G
4BB694,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
8D3970,AAA,AA,G,F,F,F,G,AA,F,G,F,G,F,G,F,F
