Ratio,Rating,FG Color,BG Color
1.00,F,005C84,495961
1.00,F,495961,005C84
1.00,F,C1D100,FCBC00
1.00,F,FCBC00,C1D100
1,F,00131D,00131D
1,F,002E3B,002E3B
1,F,005C84,005C84
1,F,1E8765,1E8765
1,F,495961,495961
1,F,8D3970,8D3970
1,F,B3DBD2,B3DBD2
1,F,C1D100,C1D100
1,F,E1E8EC,E1E8EC
1,F,E73238,E73238
1,F,FCBC00,FCBC00
1,F,FFFFFF,FFFFFF
1.02,F,495961,8D3970
1.02,F,8D3970,495961
1.03,F,005C84,8D3970
1.03,F,8D3970,005C84
1.04,F,1E8765,E73238
1.04,F,E73238,1E8765
1.12,F,B3DBD2,C1D100
1.12,F,C1D100,B3DBD2
1.13,F,B3DBD2,FCBC00
1.13,F,FCBC00,B3DBD2
1.21,F,B3DBD2,E1E8EC
1.21,F,E1E8EC,B3DBD2
1.23,F,E1E8EC,FFFFFF
1.23,F,FFFFFF,E1E8EC
1.30,F,00131D,002E3B
1.30,F,002E3B,00131D
1.36,F,C1D100,E1E8EC
1.36,F,E1E8EC,C1D100
1.37,F,E1E8EC,FCBC00
1.37,F,FCBC00,E1E8EC
1.50,F,B3DBD2,FFFFFF
1.50,F,FFFFFF,B3DBD2
1.59,F,1E8765,8D3970
1.59,F,8D3970,1E8765
1.63,F,1E8765,495961
1.63,F,495961,1E8765
1.64,F,005C84,1E8765
1.64,F,1E8765,005C84
1.66,F,8D3970,E73238
1.66,F,E73238,8D3970
1.69,F,C1D100,FFFFFF
1.69,F,FFFFFF,C1D100
1.70,F,495961,E73238
1.70,F,E73238,495961
1.70,F,FCBC00,FFFFFF
1.70,F,FFFFFF,FCBC00
1.71,F,005C84,E73238
1.71,F,E73238,005C84
1.96,F,002E3B,005C84
1.96,F,005C84,002E3B
1.98,F,002E3B,495961
1.98,F,495961,002E3B
2.03,F,002E3B,8D3970
2.03,F,8D3970,002E3B
2.51,F,E73238,FCBC00
2.51,F,FCBC00,E73238
2.52,F,C1D100,E73238
2.52,F,E73238,C1D100
2.57,F,00131D,005C84
2.57,F,005C84,00131D
2.59,F,00131D,495961
2.59,F,495961,00131D
2.61,F,1E8765,FCBC00
2.61,F,FCBC00,1E8765
2.63,F,1E8765,C1D100
2.63,F,C1D100,1E8765
2.65,F,00131D,8D3970
2.65,F,8D3970,00131D
2.84,F,B3DBD2,E73238
2.84,F,E73238,B3DBD2
2.96,F,1E8765,B3DBD2
2.96,F,B3DBD2,1E8765
3.23,G,002E3B,1E8765
3.23,G,1E8765,002E3B
3.37,G,002E3B,E73238
3.37,G,E73238,002E3B
3.45,G,E1E8EC,E73238
3.45,G,E73238,E1E8EC
3.60,G,1E8765,E1E8EC
3.60,G,E1E8EC,1E8765
4.17,G,8D3970,FCBC00
4.17,G,FCBC00,8D3970
4.19,G,8D3970,C1D100
4.19,G,C1D100,8D3970
4.23,G,00131D,1E8765
4.23,G,1E8765,00131D
4.27,G,495961,FCBC00
4.27,G,E73238,FFFFFF
4.27,G,FCBC00,495961
4.27,G,FFFFFF,E73238
4.29,G,495961,C1D100
4.29,G,C1D100,495961
4.30,G,005C84,FCBC00
4.30,G,FCBC00,005C84
4.32,G,005C84,C1D100
4.32,G,C1D100,005C84
4.42,G,00131D,E73238
4.42,G,E73238,00131D
4.45,G,1E8765,FFFFFF
4.45,G,FFFFFF,1E8765
4.73,AA,8D3970,B3DBD2
4.73,AA,B3DBD2,8D3970
4.84,AA,495961,B3DBD2
4.84,AA,B3DBD2,495961
4.88,AA,005C84,B3DBD2
4.88,AA,B3DBD2,005C84
5.74,AA,8D3970,E1E8EC
5.74,AA,E1E8EC,8D3970
5.87,AA,495961,E1E8EC
5.87,AA,E1E8EC,495961
5.92,AA,005C84,E1E8EC
5.92,AA,E1E8EC,005C84
7.11,AAA,8D3970,FFFFFF
7.11,AAA,FFFFFF,8D3970
7.27,AAA,495961,FFFFFF
7.27,AAA,FFFFFF,495961
7.33,AAA,005C84,FFFFFF
7.33,AAA,FFFFFF,005C84
8.48,AAA,002E3B,FCBC00
8.48,AAA,FCBC00,002E3B
8.52,AAA,002E3B,C1D100
8.52,AAA,C1D100,002E3B
9.61,AAA,002E3B,B3DBD2
9.61,AAA,B3DBD2,002E3B
11.1,AAA,00131D,C1D100
11.1,AAA,00131D,FCBC00
11.1,AAA,C1D100,00131D
11.1,AAA,FCBC00,00131D
11.6,AAA,002E3B,E1E8EC
11.6,AAA,E1E8EC,002E3B
12.5,AAA,00131D,B3DBD2
12.5,AAA,B3DBD2,00131D
14.4,AAA,002E3B,FFFFFF
14.4,AAA,FFFFFF,002E3B
15.2,AAA,00131D,E1E8EC
15.2,AAA,E1E8EC,00131D
18.9,AAA,00131D,FFFFFF
18.9,AAA,FFFFFF,00131D
