   ,FFFFFF,00131D,495961,E1E8EC,002E3B,005C84,B3DBD2,1E8765,C1D100,FCBC00,E73238,8D3970
FFFFFF,1,18.9,7.27,1.23,14.4,7.33,1.50,4.45,1.69,1.70,4.27,7.11
00131D,18.9,1,2.59,15.2,1.30,2.57,12.5,4.23,11.1,11.1,4.42,2.65
495961,7.27,2.59,1,5.87,1.98,1.00,4.84,1.63,4.29,4.27,1.70,1.02
E1E8EC,1.23,15.2,5.87,1,11.6,5.92,1.21,3.60,1.36,1.37,3.45,5.74
002E3B,14.4,1.30,1.98,11.6,1,1.96,9.61,3.23,8.52,8.48,3.37,2.03
005C84,7.33,2.57,1.00,5.92,1.96,1,4.88,1.64,4.32,4.30,1.71,1.03
B3DBD2,1.50,12.5,4.84,1.21,9.61,4.88,1,2.96,1.12,1.13,2.84,4.73
1E8765,4.45,4.23,1.63,3.60,3.23,1.64,2.96,1,2.63,2.61,1.04,1.59
C1D100,1.69,11.1,4.29,1.36,8.52,4.32,1.12,2.63,1,1.00,2.52,4.19
FCBC00,1.70,11.1,4.27,1.37,8.48,4.30,1.13,2.61,1.00,1,2.51,4.17
E73238,4.27,4.42,1.70,3.45,3.37,1.71,2.84,1.04,2.52,2.51,1,1.66
8D3970,7.11,2.65,1.02,5.74,2.03,1.03,4.73,1.59,4.19,4.17,1.66,1
