Ratio,Rating,FG Color,BG Color
1,F,00131D,00131D
1,F,002E3B,002E3B
1,F,231F20,231F20
1,F,4BB694,4BB694
1,F,8D3970,8D3970
1,F,B3DBD2,B3DBD2
1,F,D5007F,D5007F
1,F,FCBC00,FCBC00
1,F,FFFFFF,FFFFFF
1.12,F,002E3B,231F20
1.12,F,231F20,002E3B
1.13,F,B3DBD2,FCBC00
1.13,F,FCBC00,B3DBD2
1.15,F,00131D,231F20
1.15,F,231F20,00131D
1.30,F,00131D,002E3B
1.30,F,002E3B,00131D
1.40,F,8D3970,D5007F
1.40,F,D5007F,8D3970
1.46,F,4BB694,FCBC00
1.46,F,FCBC00,4BB694
1.50,F,B3DBD2,FFFFFF
1.50,F,FFFFFF,B3DBD2
1.66,F,4BB694,B3DBD2
1.66,F,B3DBD2,4BB694
1.70,F,FCBC00,FFFFFF
1.70,F,FFFFFF,FCBC00
2.03,F,002E3B,8D3970
2.03,F,4BB694,D5007F
2.03,F,8D3970,002E3B
2.03,F,D5007F,4BB694
2.29,F,231F20,8D3970
2.29,F,8D3970,231F20
2.49,F,4BB694,FFFFFF
2.49,F,FFFFFF,4BB694
2.65,F,00131D,8D3970
2.65,F,8D3970,00131D
2.84,F,002E3B,D5007F
2.84,F,D5007F,002E3B
2.85,F,4BB694,8D3970
2.85,F,8D3970,4BB694
2.98,F,D5007F,FCBC00
2.98,F,FCBC00,D5007F
3.21,G,231F20,D5007F
3.21,G,D5007F,231F20
3.38,G,B3DBD2,D5007F
3.38,G,D5007F,B3DBD2
3.72,G,00131D,D5007F
3.72,G,D5007F,00131D
4.17,G,8D3970,FCBC00
4.17,G,FCBC00,8D3970
4.73,AA,8D3970,B3DBD2
4.73,AA,B3DBD2,8D3970
5.07,AA,D5007F,FFFFFF
5.07,AA,FFFFFF,D5007F
5.78,AA,002E3B,4BB694
5.78,AA,4BB694,002E3B
6.53,AA,231F20,4BB694
6.53,AA,4BB694,231F20
7.11,AAA,8D3970,FFFFFF
7.11,AAA,FFFFFF,8D3970
7.57,AAA,00131D,4BB694
7.57,AAA,4BB694,00131D
8.48,AAA,002E3B,FCBC00
8.48,AAA,FCBC00,002E3B
9.57,AAA,231F20,FCBC00
9.57,AAA,FCBC00,231F20
9.61,AAA,002E3B,B3DBD2
9.61,AAA,B3DBD2,002E3B
10.8,AAA,231F20,B3DBD2
10.8,AAA,B3DBD2,231F20
11.1,AAA,00131D,FCBC00
11.1,AAA,FCBC00,00131D
12.5,AAA,00131D,B3DBD2
12.5,AAA,B3DBD2,00131D
14.4,AAA,002E3B,FFFFFF
14.4,AAA,FFFFFF,002E3B
16.3,AAA,231F20,FFFFFF
16.3,AAA,FFFFFF,231F20
18.9,AAA,00131D,FFFFFF
18.9,AAA,FFFFFF,00131D
