Ratio,Rating,FG Color,BG Color
1,F,000000,000000
1,F,00131D,00131D
1,F,231F20,231F20
1,F,5A7A5E,5A7A5E
1,F,B3DBCB,B3DBCB
1,F,B6D7A3,B6D7A3
1,F,C2AED0,C2AED0
1,F,D7AD04,D7AD04
1,F,E0DD00,E0DD00
1,F,E3E4EA,E3E4EA
1,F,E88F79,E88F79
1,F,E8A07B,E8A07B
1,F,EC6907,EC6907
1,F,F2F2F2,F2F2F2
1,F,FAC07E,FAC07E
1.01,F,D7AD04,E8A07B
1.01,F,E8A07B,D7AD04
1.02,F,B6D7A3,FAC07E
1.02,F,FAC07E,B6D7A3
1.03,F,C2AED0,D7AD04
1.03,F,D7AD04,C2AED0
1.04,F,B3DBCB,E0DD00
1.04,F,E0DD00,B3DBCB
1.05,F,B3DBCB,B6D7A3
1.05,F,B6D7A3,B3DBCB
1.05,F,C2AED0,E8A07B
1.05,F,E8A07B,C2AED0
1.07,F,B3DBCB,FAC07E
1.07,F,FAC07E,B3DBCB
1.09,F,B6D7A3,E0DD00
1.09,F,E0DD00,B6D7A3
1.11,F,000000,00131D
1.11,F,00131D,000000
1.12,F,E0DD00,FAC07E
1.12,F,E88F79,E8A07B
1.12,F,E8A07B,E88F79
1.12,F,FAC07E,E0DD00
1.13,F,E3E4EA,F2F2F2
1.13,F,F2F2F2,E3E4EA
1.14,F,D7AD04,E88F79
1.14,F,E0DD00,E3E4EA
1.14,F,E3E4EA,E0DD00
1.14,F,E88F79,D7AD04
1.15,F,00131D,231F20
1.15,F,231F20,00131D
1.18,F,B3DBCB,E3E4EA
1.18,F,C2AED0,E88F79
1.18,F,E3E4EA,B3DBCB
1.18,F,E88F79,C2AED0
1.25,F,B6D7A3,E3E4EA
1.25,F,C2AED0,FAC07E
1.25,F,E3E4EA,B6D7A3
1.25,F,FAC07E,C2AED0
1.28,F,000000,231F20
1.28,F,231F20,000000
1.28,F,E3E4EA,FAC07E
1.28,F,FAC07E,E3E4EA
1.29,F,B6D7A3,C2AED0
1.29,F,C2AED0,B6D7A3
1.29,F,E0DD00,F2F2F2
1.29,F,F2F2F2,E0DD00
1.30,F,D7AD04,FAC07E
1.30,F,FAC07E,D7AD04
1.31,F,E88F79,EC6907
1.31,F,EC6907,E88F79
1.32,F,E8A07B,FAC07E
1.32,F,FAC07E,E8A07B
1.34,F,B3DBCB,F2F2F2
1.34,F,B6D7A3,D7AD04
1.34,F,D7AD04,B6D7A3
1.34,F,F2F2F2,B3DBCB
1.35,F,B3DBCB,C2AED0
1.35,F,B6D7A3,E8A07B
1.35,F,C2AED0,B3DBCB
1.35,F,E8A07B,B6D7A3
1.40,F,B3DBCB,D7AD04
1.40,F,D7AD04,B3DBCB
1.41,F,B6D7A3,F2F2F2
1.41,F,C2AED0,E0DD00
1.41,F,E0DD00,C2AED0
1.41,F,F2F2F2,B6D7A3
1.42,F,B3DBCB,E8A07B
1.42,F,E8A07B,B3DBCB
1.45,F,F2F2F2,FAC07E
1.45,F,FAC07E,F2F2F2
1.47,F,D7AD04,E0DD00
1.47,F,E0DD00,D7AD04
1.47,F,E8A07B,EC6907
1.47,F,EC6907,E8A07B
1.48,F,E0DD00,E8A07B
1.48,F,E8A07B,E0DD00
1.49,F,D7AD04,EC6907
1.49,F,E88F79,FAC07E
1.49,F,EC6907,D7AD04
1.49,F,FAC07E,E88F79
1.50,F,5A7A5E,EC6907
1.50,F,EC6907,5A7A5E
1.53,F,B6D7A3,E88F79
1.53,F,E88F79,B6D7A3
1.55,F,C2AED0,EC6907
1.55,F,EC6907,C2AED0
1.61,F,B3DBCB,E88F79
1.61,F,C2AED0,E3E4EA
1.61,F,E3E4EA,C2AED0
1.61,F,E88F79,B3DBCB
1.67,F,D7AD04,E3E4EA
1.67,F,E3E4EA,D7AD04
1.68,F,E0DD00,E88F79
1.68,F,E88F79,E0DD00
1.69,F,E3E4EA,E8A07B
1.69,F,E8A07B,E3E4EA
1.82,F,C2AED0,F2F2F2
1.82,F,F2F2F2,C2AED0
1.90,F,D7AD04,F2F2F2
1.90,F,F2F2F2,D7AD04
1.91,F,E3E4EA,E88F79
1.91,F,E88F79,E3E4EA
1.92,F,E8A07B,F2F2F2
1.92,F,F2F2F2,E8A07B
1.95,F,EC6907,FAC07E
1.95,F,FAC07E,EC6907
1.97,F,5A7A5E,E88F79
