   ,E0DD00,000000,231F20,00131D,E3E4EA,5A7A5E,E8A07B,C2AED0,B6D7A3,FAC07E,B3DBCB,D7AD04,E88F79,EC6907,F2F2F2
E0DD00,1,14.5,11.2,13.0,1.14,3.31,1.48,1.41,1.09,1.12,1.04,1.47,1.68,2.20,1.29
000000,14.5,1,1.28,1.11,16.5,4.38,9.74,10.2,13.2,12.9,13.9,9.86,8.63,6.59,18.7
231F20,11.2,1.28,1,1.15,12.8,3.39,7.56,7.96,10.2,10.0,10.7,7.66,6.70,5.11,14.5
00131D,13.0,1.11,1.15,1,14.8,3.94,8.77,9.23,11.9,11.6,12.5,8.88,7.77,5.93,16.8
E3E4EA,1.14,16.5,12.8,14.8,1,3.77,1.69,1.61,1.25,1.28,1.18,1.67,1.91,2.51,1.13
5A7A5E,3.31,4.38,3.39,3.94,3.77,1,2.22,2.34,3.02,2.94,3.17,2.25,1.97,1.50,4.28
E8A07B,1.48,9.74,7.56,8.77,1.69,2.22,1,1.05,1.35,1.32,1.42,1.01,1.12,1.47,1.92
C2AED0,1.41,10.2,7.96,9.23,1.61,2.34,1.05,1,1.29,1.25,1.35,1.03,1.18,1.55,1.82
B6D7A3,1.09,13.2,10.2,11.9,1.25,3.02,1.35,1.29,1,1.02,1.05,1.34,1.53,2.00,1.41
FAC07E,1.12,12.9,10.0,11.6,1.28,2.94,1.32,1.25,1.02,1,1.07,1.30,1.49,1.95,1.45
B3DBCB,1.04,13.9,10.7,12.5,1.18,3.17,1.42,1.35,1.05,1.07,1,1.40,1.61,2.11,1.34
D7AD04,1.47,9.86,7.66,8.88,1.67,2.25,1.01,1.03,1.34,1.30,1.40,1,1.14,1.49,1.90
E88F79,1.68,8.63,6.70,7.77,1.91,1.97,1.12,1.18,1.53,1.49,1.61,1.14,1,1.31,2.17
EC6907,2.20,6.59,5.11,5.93,2.51,1.50,1.47,1.55,2.00,1.95,2.11,1.49,1.31,1,2.84
F2F2F2,1.29,18.7,14.5,16.8,1.13,4.28,1.92,1.82,1.41,1.45,1.34,1.90,2.17,2.84,1
