Ratio,Rating,FG Color,BG Color
1,F,000000,000000
1,F,3AC2EF,3AC2EF
1,F,686260,686260
1,F,810001,810001
1,F,ACE6F8,ACE6F8
1,F,AF0D1A,AF0D1A
1,F,B7AEA9,B7AEA9
1,F,D6CFCA,D6CFCA
1,F,E1DFDC,E1DFDC
1,F,E31837,E31837
1,F,FFFFFF,FFFFFF
1.02,F,ACE6F8,E1DFDC
1.02,F,E1DFDC,ACE6F8
1.05,F,3AC2EF,B7AEA9
1.05,F,B7AEA9,3AC2EF
1.13,F,ACE6F8,D6CFCA
1.13,F,D6CFCA,ACE6F8
1.15,F,D6CFCA,E1DFDC
1.15,F,E1DFDC,D6CFCA
1.21,F,686260,AF0D1A
1.21,F,AF0D1A,686260
1.27,F,686260,E31837
1.27,F,E31837,686260
1.32,F,E1DFDC,FFFFFF
1.32,F,FFFFFF,E1DFDC
1.34,F,3AC2EF,D6CFCA
1.34,F,D6CFCA,3AC2EF
1.36,F,ACE6F8,FFFFFF
1.36,F,FFFFFF,ACE6F8
1.41,F,B7AEA9,D6CFCA
1.41,F,D6CFCA,B7AEA9
1.49,F,810001,AF0D1A
1.49,F,AF0D1A,810001
1.52,F,3AC2EF,ACE6F8
1.52,F,ACE6F8,3AC2EF
1.53,F,AF0D1A,E31837
1.53,F,D6CFCA,FFFFFF
1.53,F,E31837,AF0D1A
1.53,F,FFFFFF,D6CFCA
1.55,F,3AC2EF,E1DFDC
1.55,F,E1DFDC,3AC2EF
1.60,F,ACE6F8,B7AEA9
1.60,F,B7AEA9,ACE6F8
1.63,F,B7AEA9,E1DFDC
1.63,F,E1DFDC,B7AEA9
1.81,F,686260,810001
1.81,F,810001,686260
1.93,F,000000,810001
1.93,F,810001,000000
2.07,F,3AC2EF,FFFFFF
2.07,F,FFFFFF,3AC2EF
2.16,F,B7AEA9,E31837
2.16,F,E31837,B7AEA9
2.17,F,B7AEA9,FFFFFF
2.17,F,FFFFFF,B7AEA9
2.27,F,3AC2EF,E31837
2.27,F,E31837,3AC2EF
2.30,F,810001,E31837
2.30,F,E31837,810001
2.75,F,686260,B7AEA9
2.75,F,B7AEA9,686260
2.89,F,000000,AF0D1A
2.89,F,3AC2EF,686260
2.89,F,686260,3AC2EF
2.89,F,AF0D1A,000000
3.06,G,D6CFCA,E31837
3.06,G,E31837,D6CFCA
3.32,G,AF0D1A,B7AEA9
3.32,G,B7AEA9,AF0D1A
3.46,G,ACE6F8,E31837
3.46,G,E31837,ACE6F8
3.50,G,000000,686260
3.50,G,3AC2EF,AF0D1A
3.50,G,686260,000000
3.50,G,AF0D1A,3AC2EF
3.54,G,E1DFDC,E31837
3.54,G,E31837,E1DFDC
3.89,G,686260,D6CFCA
3.89,G,D6CFCA,686260
4.40,G,686260,ACE6F8
4.40,G,ACE6F8,686260
4.45,G,000000,E31837
4.45,G,E31837,000000
4.50,AA,686260,E1DFDC
4.50,AA,E1DFDC,686260
4.71,AA,AF0D1A,D6CFCA
4.71,AA,D6CFCA,AF0D1A
4.71,AA,E31837,FFFFFF
4.71,AA,FFFFFF,E31837
4.98,AA,810001,B7AEA9
4.98,AA,B7AEA9,810001
5.24,AA,3AC2EF,810001
5.24,AA,810001,3AC2EF
5.32,AA,ACE6F8,AF0D1A
5.32,AA,AF0D1A,ACE6F8
5.45,AA,AF0D1A,E1DFDC
5.45,AA,E1DFDC,AF0D1A
5.99,AA,686260,FFFFFF
5.99,AA,FFFFFF,686260
7.05,AAA,810001,D6CFCA
7.05,AAA,D6CFCA,810001
7.25,AAA,AF0D1A,FFFFFF
7.25,AAA,FFFFFF,AF0D1A
7.97,AAA,810001,ACE6F8
7.97,AAA,ACE6F8,810001
8.16,AAA,810001,E1DFDC
8.16,AAA,E1DFDC,810001
9.64,AAA,000000,B7AEA9
9.64,AAA,B7AEA9,000000
10.1,AAA,000000,3AC2EF
10.1,AAA,3AC2EF,000000
10.8,AAA,810001,FFFFFF
10.8,AAA,FFFFFF,810001
13.6,AAA,000000,D6CFCA
13.6,AAA,D6CFCA,000000
15.4,AAA,000000,ACE6F8
15.4,AAA,ACE6F8,000000
15.7,AAA,000000,E1DFDC
15.7,AAA,E1DFDC,000000
21,AAA,000000,FFFFFF
21,AAA,FFFFFF,000000
